GDP per capita,Social support,Life Expectancy,Freedom,Generosity,Corruption,Actual_Happiness_Score,Country,Year
1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,6.994,Germany,2016
0.274,0.916,0.555,0.148,0.169,0.041,3.933,Madagascar,2019
0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,7.226,Costa Rica,2015
0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,4.655,Albania,2016
0.191,0.56,0.495,0.443,0.218,0.089,3.41,Malawi,2019
0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,3.93600010871887,Chad,2017
1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,5.39499998092651,Serbia,2017
0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,4.369,Djibouti,2015
0.94,1.41,0.33,0.516,0.103,0.056,4.724,South Africa,2018
0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,4.786,Tajikistan,2015
1.057,1.183,0.571,0.295,0.043,0.055,4.799,Gabon,2019
1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,6.00799989700317,Ecuador,2017
0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,4.867,Swaziland,2015
0.934,1.249,0.674,0.53,0.092,0.034,5.663,Peru,2018
0.315,0.714,0.289,0.025,0.392,0.104,3.582,Haiti,2018
0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,5.14,China,2015
1.043,0.98,0.574,0.241,0.148,0.089,4.437,Iraq,2019
0.68133,0.97841,0.5392,0.57414,0.20536,0.088,5.89,Bolivia,2015
0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,4.971,Mozambique,2015
0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,3.46199989318848,Syria,2017
1.044,1.303,0.673,0.416,0.133,0.152,5.525,Libya,2019
0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,5.709,Jamaica,2015
0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,4.959,Albania,2015
0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,5.956,Belize,2016
0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,6.07100009918213,Nicaragua,2017
0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,4.64400005340576,Albania,2017
1.50796,1.04782,0.779,0.48163,0.41077,0.14868,7.104,United States,2016
0.131,0.867,0.221,0.39,0.175,0.099,4.166,Niger,2018
1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,5.87200021743774,Algeria,2017
1.433,1.457,0.874,0.454,0.28,0.128,6.892,United States,2019
0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,5.01100015640259,Bhutan,2017
1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,5.098,Latvia,2015
0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,3.97000002861023,Malawi,2017
1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,5.477,Mauritius,2015
0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,5.2350001335144,Morocco,2017
1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,7.267,Israel,2016
1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,5.791,Poland,2015
0.0,0.712,0.115,0.674,0.238,0.282,4.982,Somalia,2018
0.36485,0.628,0.0,0.30685,0.23897,0.08196,4.635,Sierra Leone,2016
0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,6.983,Brazil,2015
1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,6.379,Saudi Arabia,2016
1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,4.71400022506714,Bulgaria,2017
0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,5.279,Philippines,2016
0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,5.976,Ecuador,2016
0.642,1.236,0.828,0.507,0.246,0.078,5.86,Honduras,2019
0.855,1.475,0.777,0.514,0.184,0.08,5.743,Paraguay,2019
1.02787,0.99496,0.57669,0.52259,0.21286,0.12372,5.155,Dominican Republic,2016
0.287,1.163,0.463,0.143,0.108,0.077,3.38,Yemen,2019
0.308,0.95,0.391,0.452,0.22,0.146,4.35,Ethiopia,2018
0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,4.681,Ukraine,2015
0.256,0.813,0.0,0.355,0.238,0.053,4.571,Sierra Leone,2018
0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,6.00299978256226,El Salvador,2017
0.8,1.269,0.746,0.535,0.175,0.078,6.436,Guatemala,2019
0.764,1.03,0.551,0.547,0.266,0.164,4.796,Laos,2019
1.34,1.474,0.861,0.586,0.273,0.28,6.965,Germany,2018
0.262,0.908,0.402,0.221,0.155,0.049,3.774,Madagascar,2018
1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,5.759,Croatia,2015
1.27607,0.94367,0.79363,0.44727,0.11691,0.01521,5.123,Portugal,2016
0.8818,0.747,0.61712,0.17288,0.11291,0.06324,4.194,Egypt,2015
0.77109,0.47799,0.28212,0.37938,0.12077,0.09753,4.236,Congo (Brazzaville),2016
1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,5.212,Azerbaijan,2015
0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,4.795,Zambia,2016
0.965,1.179,0.785,0.503,0.214,0.136,5.358,Lebanon,2018
1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,5.96400022506714,Italy,2017
0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,5.42999982833862,Philippines,2017
0.44314,0.77416,0.40457,0.31056,0.19103,0.11681,4.219,Senegal,2016
0.916,0.817,0.79,0.419,0.149,0.032,4.586,Albania,2018
0.186,0.541,0.306,0.531,0.21,0.08,3.587,Malawi,2018
0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,6.123,Guatemala,2015
1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,6.078,Slovakia,2016
0.331,1.056,0.38,0.255,0.177,0.113,4.587,Burkina Faso,2019
1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,6.4520001411438,Panama,2017
0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,4.033,Angola,2015
0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,4.739,Tunisia,2015
0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,5.36,Vietnam,2015
0.68042,0.5497,0.38291,0.52168,0.43079,0.22423,4.876,Laos,2016
